Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/mpls.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/mpls.eda.nokia.com/v1alpha1,GET,ResourceList,resource_list,true,true,false
/apps/mpls.eda.nokia.com/v1alpha1/_ui/{pathname},GET,UIResult,,false,false,false
/apps/mpls.eda.nokia.com/v1alpha1/defaultldpinterfaces,GET,com.nokia.eda.mpls.v1alpha1.DefaultLDPInterfaceList,,false,false,false
/apps/mpls.eda.nokia.com/v1alpha1/defaultldprouters,GET,com.nokia.eda.mpls.v1alpha1.DefaultLDPRouterList,,false,false,false
/apps/mpls.eda.nokia.com/v1alpha1/labelblocks,GET,com.nokia.eda.mpls.v1alpha1.LabelBlockList,,false,false,false
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultldpinterfaces,DELETE,com.nokia.eda.mpls.v1alpha1.DefaultLDPInterfaceList,,false,false,false
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultldpinterfaces,GET,com.nokia.eda.mpls.v1alpha1.DefaultLDPInterfaceList,default_ldp_interface_list,true,true,false
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultldpinterfaces,POST,com.nokia.eda.mpls.v1alpha1.DefaultLDPInterface,default_ldp_interface,true,false,true
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultldpinterfaces/_deleted,GET,com.nokia.eda.mpls.v1alpha1.DefaultLDPInterface_DeletedResources,,false,false,false
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultldpinterfaces/{name},DELETE,Status,default_ldp_interface,true,false,true
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultldpinterfaces/{name},GET,com.nokia.eda.mpls.v1alpha1.DefaultLDPInterface,default_ldp_interface,true,true,true
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultldpinterfaces/{name},PATCH,com.nokia.eda.mpls.v1alpha1.DefaultLDPInterface,,false,false,false
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultldpinterfaces/{name},PUT,com.nokia.eda.mpls.v1alpha1.DefaultLDPInterface,default_ldp_interface,true,false,true
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultldpinterfaces/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultldpinterfaces/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultldpinterfaces/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultldprouters,DELETE,com.nokia.eda.mpls.v1alpha1.DefaultLDPRouterList,,false,false,false
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultldprouters,GET,com.nokia.eda.mpls.v1alpha1.DefaultLDPRouterList,default_ldp_router_list,true,true,false
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultldprouters,POST,com.nokia.eda.mpls.v1alpha1.DefaultLDPRouter,default_ldp_router,true,false,true
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultldprouters/_deleted,GET,com.nokia.eda.mpls.v1alpha1.DefaultLDPRouter_DeletedResources,,false,false,false
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultldprouters/{name},DELETE,Status,default_ldp_router,true,false,true
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultldprouters/{name},GET,com.nokia.eda.mpls.v1alpha1.DefaultLDPRouter,default_ldp_router,true,true,true
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultldprouters/{name},PATCH,com.nokia.eda.mpls.v1alpha1.DefaultLDPRouter,,false,false,false
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultldprouters/{name},PUT,com.nokia.eda.mpls.v1alpha1.DefaultLDPRouter,default_ldp_router,true,false,true
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultldprouters/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultldprouters/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/defaultldprouters/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/labelblocks,DELETE,com.nokia.eda.mpls.v1alpha1.LabelBlockList,,false,false,false
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/labelblocks,GET,com.nokia.eda.mpls.v1alpha1.LabelBlockList,label_block_list,true,true,false
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/labelblocks,POST,com.nokia.eda.mpls.v1alpha1.LabelBlock,label_block,true,false,true
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/labelblocks/_deleted,GET,com.nokia.eda.mpls.v1alpha1.LabelBlock_DeletedResources,,false,false,false
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/labelblocks/{name},DELETE,Status,label_block,true,false,true
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/labelblocks/{name},GET,com.nokia.eda.mpls.v1alpha1.LabelBlock,label_block,true,true,true
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/labelblocks/{name},PATCH,com.nokia.eda.mpls.v1alpha1.LabelBlock,,false,false,false
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/labelblocks/{name},PUT,com.nokia.eda.mpls.v1alpha1.LabelBlock,label_block,true,false,true
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/labelblocks/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/labelblocks/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/mpls.eda.nokia.com/v1alpha1/namespaces/{namespace}/labelblocks/{name}/_topology,POST,K8STopologyRequest,,false,false,false
